customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
5780.182197,51066,74,23,0,0,8,787.993313
4118.539113,34378,102,12,54,0,1,489.6
2523.07015,43072,63,35,15,0,1,302.4
6554.216396,25222,90,28,69,0,3,475.623251
2695.182419,32720,67,13,12,0,1,321.6
10656.88195,72540,88,7,3,0,2,631.743039
2527.653796,80744,63,24,84,0,1,11.879037
2672.095756,52822,67,23,88,0,1,350.529033
4801.661503,18107,62,29,11,0,8,297.6
6066.115969,32627,76,11,60,0,7,380.036697
8002.308333,0,107,3,65,0,3,513.6
2393.915369,0,70,24,10,0,1,425.266308
4330.38602,60475,107,9,18,0,1,513.6
9402.729769,0,130,28,88,0,4,936.0
7694.064293,32303,65,13,34,0,2,45.152521
6701.571657,56398,85,4,18,0,7,408.0
8492.6988,27804,109,19,54,0,7,784.8
4772.943848,20993,133,35,90,0,1,638.4
2469.781334,92711,62,24,10,0,1,368.400146
2981.875575,0,83,26,89,0,1,582.679087
5499.447223,88768,68,17,77,0,7,326.4
2509.107875,33555,63,17,11,0,1,101.89645
3133.503432,58850,78,20,26,0,1,143.747794
3837.451863,21880,97,29,37,0,1,424.077159
11790.49617,25251,66,13,43,0,2,316.8
7838.068321,0,69,9,12,0,2,2.704934
4305.808345,24188,109,14,82,0,1,523.2
5973.976904,41611,74,14,8,0,8,113.801497
4731.749346,69833,118,32,99,0,1,828.662719
8026.379641,0,74,15,91,0,2,532.8
9618.310865,80536,119,5,83,0,3,53.798708
2274.775451,0,63,2,5,0,1,606.642452
9552.926922,97732,79,0,70,0,2,289.9122
10388.55323,61222,89,20,55,0,2,392.604371
2470.121222,0,74,7,20,0,1,721.242206
5619.068508,50335,140,9,54,0,1,456.52385
3731.504584,0,96,31,34,0,1,460.8
3660.770258,64495,92,34,30,0,1,251.992083
7928.829252,0,72,7,75,0,2,345.6
7988.258292,77330,99,0,21,0,3,99.257608
3885.456401,0,105,3,92,0,1,504.0
2659.337982,24495,70,29,65,0,1,336.0
4885.162511,26372,126,11,7,0,1,604.8
9753.307106,17514,127,2,5,0,3,8.312729
2946.153697,89270,74,17,90,0,1,316.599228
2581.110945,29757,65,13,55,0,1,312.0
3517.385764,51814,92,28,89,0,1,56.300724
9743.350113,24028,82,14,27,0,2,393.6
3873.647046,28142,105,18,50,0,1,701.708239
2287.59692,0,63,1,5,0,1,679.368378
4475.424592,84903,111,7,63,0,1,497.126827
8714.922135,0,118,14,64,0,4,566.4
7771.158973,21876,68,12,28,0,2,465.41477
2413.139714,27501,63,20,0,0,1,542.319401
15363.84716,15897,101,30,99,0,2,303.148399
5780.182197,51066,74,23,0,0,8,787.993313
4639.981638,28358,117,24,37,0,1,84.024413
4465.335703,61846,112,1,48,0,1,215.8182
5968.118877,90972,74,3,47,0,8,232.926145
5097.763337,0,74,3,95,0,7,532.8
4076.634665,29549,104,17,51,0,1,710.433775
4892.435461,21709,62,28,17,0,3,408.374746
9942.304791,67890,85,23,57,0,2,408.0
3735.838129,0,110,3,16,0,1,792.0
4574.524094,99316,114,26,53,0,1,754.358929
5470.060561,54507,138,20,11,0,1,702.990032
2978.84601,64586,76,3,17,0,1,206.837111
2383.731879,0,69,5,40,0,1,496.8
6889.097981,0,63,6,12,0,2,302.4
3274.194616,31686,81,11,33,0,1,430.994107
11140.30248,27679,150,30,28,0,3,722.486994
2799.74791,65351,69,4,54,0,1,481.027516
2924.976721,64459,72,16,64,0,1,240.259479
9277.233839,71416,116,10,0,0,3,556.8
6274.123875,68964,78,15,6,0,3,115.086827
3886.647414,78108,98,12,34,0,1,470.4
4386.277558,10621,67,28,22,0,5,321.6
11365.26766,84910,95,4,69,0,2,383.167471
5610.96434,77493,70,2,35,0,3,307.963291
2912.892035,81097,74,7,67,0,1,355.2
6915.729915,96610,85,6,23,0,3,520.364752
6262.663307,30110,159,20,71,0,1,466.436375
6503.397049,22081,84,1,9,0,6,451.670309
8007.399376,0,112,12,93,0,3,537.6
2929.916512,98473,72,19,69,0,1,345.6
5969.55297,97431,74,1,72,0,3,355.2
5473.15987,93870,69,1,96,0,8,331.2
6369.262355,34498,83,30,72,0,7,398.4
11833.76732,16552,103,23,53,0,2,494.4
6121.107929,26787,77,7,50,0,5,369.6
2514.59196,43860,65,15,58,0,1,156.124914
5504.139033,0,73,18,45,0,5,350.4
7507.455372,60920,64,10,61,0,2,231.201886
5657.031588,0,152,12,89,0,1,729.6
5061.757902,0,68,19,16,0,8,326.4
5912.783829,72208,73,3,84,0,8,350.4
15182.27975,53863,63,12,30,0,2,105.765111
10747.03094,66446,136,8,77,0,3,639.464548
2050.623512,0,61,18,26,0,1,292.8
5343.121327,64460,66,18,42,0,3,316.8
8119.829071,46618,67,22,77,0,2,99.085943
4605.265164,0,64,13,64,0,4,307.2
3211.070017,16269,86,6,84,0,1,412.8
5094.522262,72006,64,4,38,0,3,307.2
8044.73072,44320,67,13,79,0,2,321.6
4001.519098,19782,108,13,66,0,1,773.470977
8544.411077,28224,109,13,13,0,8,523.2
6112.756868,63243,77,21,73,0,3,364.240307
4772.943848,20993,133,35,90,0,1,638.4
10979.09559,94827,135,5,64,0,4,354.729129
2623.31543,80210,65,30,28,0,1,20.543176
5106.111827,30110,64,2,4,0,5,140.165035
5457.342569,94731,67,23,65,0,4,321.6
6563.644143,32375,83,17,83,0,6,398.4
4812.525221,16531,63,0,40,0,4,102.879769
5773.520711,81676,72,21,86,0,8,463.158502
6847.1189,71038,86,15,56,0,3,205.444066
3595.31286,0,103,20,43,0,1,741.6
7859.414569,0,113,19,10,0,7,813.6
4115.577437,52405,103,2,27,0,1,494.4
5029.638777,0,133,3,89,0,1,795.864079
5004.310469,25486,65,15,53,0,3,72.438681
8630.053943,24065,111,30,1,0,5,532.8
9322.08512,70435,116,0,50,0,4,67.881546
3652.532435,39679,92,2,85,0,1,641.388616
6158.601171,0,89,13,45,0,5,342.481173
8346.983233,48259,108,14,79,0,3,73.700573
6323.923864,78532,78,25,87,0,3,374.4
5973.14343,96163,73,23,90,0,3,350.4
4706.676993,0,72,0,86,0,7,345.6
5035.744643,72672,63,7,39,0,5,259.361117
7288.884849,79494,91,19,30,0,3,396.295614
4992.063043,0,71,6,5,0,3,653.388564
9102.267849,26049,118,17,6,0,6,121.032372
2540.407726,70125,64,21,77,0,1,92.813396
7035.534088,0,101,16,88,0,8,727.2
2636.97773,31911,67,33,27,0,1,321.6
5395.831967,70051,68,15,69,0,8,42.078345
2887.742258,0,80,24,95,0,1,676.944023
8714.922135,0,118,14,64,0,4,566.4
10272.6082,60145,132,8,28,0,3,580.473259
4376.363592,63774,111,18,63,0,1,60.036683
5318.89664,25134,67,3,0,0,6,321.6
4428.031583,58577,110,6,62,0,1,303.872752
5879.176092,85857,73,3,19,0,6,100.620067
9416.908485,70602,116,8,47,0,3,481.339891
3903.474784,60068,98,17,75,0,1,470.4
5457.259678,50044,139,16,14,0,1,667.2
4433.97368,50653,110,29,42,0,1,262.865172
5332.462694,68931,66,32,30,0,7,309.577946
5411.953687,0,73,1,22,0,5,365.364581
9587.33234,39266,80,33,31,0,2,384.0
2567.151468,40864,65,2,75,0,1,9.51528
2650.622781,39035,68,15,65,0,1,244.564334
11264.36334,34923,98,23,82,0,2,639.105556
2168.523464,0,63,1,56,0,1,453.6
2834.646235,24506,71,7,47,0,1,511.2
8930.139728,0,82,25,63,0,2,554.522969
2840.85429,0,74,17,73,0,1,402.449823
8082.880956,53554,67,6,5,0,2,327.020539
5116.237577,0,70,1,11,0,5,131.401291
3034.646997,68205,76,35,14,0,1,99.382943
5121.563312,0,72,2,22,0,5,518.4
2150.178588,0,61,28,31,0,1,292.8
5595.389905,74454,71,25,29,0,3,340.8
7562.824036,0,73,23,91,0,2,350.4
5385.853211,29664,71,1,69,0,3,340.8
4718.558501,15680,64,20,29,0,8,260.879903
3605.860265,21585,92,35,61,0,1,441.6
2558.178159,0,72,7,77,0,1,345.6
5123.170887,89879,63,17,20,0,3,94.030308
2537.744494,0,69,9,89,0,1,331.2
2969.593296,46131,74,27,28,0,1,355.2
5272.191556,96668,66,2,95,0,3,316.8
16313.68349,0,69,21,86,0,2,331.2
5678.050167,0,76,8,44,0,3,364.8
2453.570794,29735,69,3,92,0,1,331.2
5075.66267,23082,65,18,90,0,7,312.0
3214.979402,53984,80,15,62,0,1,421.484456
2722.210707,17576,71,29,70,0,1,398.502948
2457.440923,29486,62,19,73,0,1,7.646763
3554.845264,58557,88,4,83,0,1,55.510526
4929.549699,25632,63,27,52,0,7,351.270869
5960.581363,47945,74,32,39,0,3,128.43823
3832.118106,15192,100,1,7,0,1,480.0
5285.26816,23422,72,25,76,0,3,518.4
3096.511217,21604,79,14,28,0,1,379.2
3589.710715,79298,90,22,2,0,1,244.362072
2582.408525,76731,64,2,68,0,1,201.455005
2487.729726,67282,62,29,27,0,1,297.6
4685.504251,77678,116,32,81,0,1,741.418485
6183.111464,23712,85,2,20,0,3,376.126419
3873.647046,28142,105,18,50,0,1,701.708239
5553.295758,68197,69,1,81,0,3,176.819414
5011.259184,75248,63,13,71,0,5,104.454624
10442.44633,0,98,9,50,0,2,941.718054
8709.845263,41546,111,4,47,0,3,121.306839
7484.310483,46998,96,13,98,0,6,460.8
2613.023132,57099,67,20,37,0,1,67.859881
9080.639651,33897,114,15,67,0,8,539.843003
13770.97618,59207,116,23,21,0,2,556.8
2876.822941,40171,73,8,78,0,1,350.4
5097.526248,21665,136,0,25,0,1,765.709629
4731.366975,30686,61,22,45,0,3,19.938981
5904.088162,97413,73,21,80,0,6,268.819985
5595.835041,79189,69,6,97,0,4,331.2
2294.303629,0,62,5,31,0,1,297.6
6273.911874,18577,86,21,76,0,6,412.8
5110.680779,0,74,34,51,0,4,532.8
4601.634099,84394,114,9,38,0,1,691.412378
9155.239699,0,127,3,93,0,3,804.811859
5734.598243,98132,71,10,61,0,3,50.587035
4177.696973,0,112,4,49,0,1,537.6
10364.34749,58327,129,31,5,0,3,347.075948
7851.901368,25950,66,27,1,0,2,271.697529
4772.943848,20993,133,35,90,0,1,638.4
2794.907476,39783,72,28,43,0,1,345.6
4362.931238,58842,110,6,74,0,1,528.0
5015.009472,48567,130,12,15,0,1,624.0
9028.821403,65974,113,3,43,0,3,235.220971
5303.759534,0,76,18,63,0,3,395.34111
5123.768112,0,74,1,62,0,7,772.798511
9492.342964,0,132,9,85,0,6,633.6
8204.863191,0,73,9,14,0,2,350.4
4815.009736,25398,64,30,80,0,6,307.2
6277.011679,0,88,30,19,0,4,633.6
8260.639809,33321,105,6,2,0,3,504.0
2549.450038,0,78,13,32,0,1,845.654042
4502.679656,68798,114,19,69,0,1,92.915251
3803.921781,20325,100,4,6,0,1,668.29397
8635.4035,13129,117,15,93,0,6,700.901632
5510.558964,0,73,24,57,0,4,525.6
3585.884123,49080,91,14,68,0,1,25.299
4889.25278,42536,63,30,57,0,6,375.330097
2756.941661,29926,74,25,34,0,1,418.233667
3289.547398,0,86,5,55,0,1,398.240791
10937.1785,21450,138,15,35,0,4,938.513425
7375.567916,33345,65,32,52,0,2,338.619869
10110.77818,15752,90,27,37,0,2,339.344531
2224.768,0,68,3,4,0,1,326.4
8042.803784,55411,100,24,53,0,4,259.561195
2554.437138,12459,70,4,41,0,1,336.0
2430.506586,83140,61,25,70,0,1,179.161843
3167.658442,0,92,20,50,0,1,662.4
5465.603983,54422,68,9,8,0,5,75.501852
2821.947219,38977,70,27,22,0,1,139.489926
7757.128146,0,111,32,13,0,3,607.4459
4079.132667,0,114,12,43,0,1,631.124372
5955.544552,0,83,35,87,0,8,628.023494
14158.61364,83235,70,16,33,0,2,336.0
8487.238032,0,74,7,93,0,2,426.655599
6285.476868,32390,80,20,36,0,8,91.417923
11473.48149,66538,95,14,64,0,2,317.844812
2310.882998,0,64,12,24,0,1,460.8
2514.59196,43860,65,15,58,0,1,156.124914
4770.550911,12964,65,2,37,0,4,362.774545
3570.760509,56168,88,13,20,0,1,614.675906
6019.960469,0,92,3,28,0,4,662.4
5426.863953,23105,69,15,21,0,3,331.2
2730.313804,36218,68,6,83,0,1,145.252168
4982.681374,52275,62,6,88,0,5,374.240783
8769.266756,49665,74,5,51,0,2,355.2
4220.613534,32471,110,0,87,0,1,528.0
4700.583771,76694,117,34,23,0,1,561.6
2523.171245,0,70,20,81,0,1,504.0
12941.73353,77060,106,23,90,0,2,468.566133
3764.465074,92600,94,9,48,0,1,842.43785
6889.557028,0,66,2,75,0,2,475.2
7582.113842,64801,64,23,19,0,2,268.471802
8277.74558,45257,103,33,90,0,4,494.4
2576.455597,26854,66,31,70,0,1,475.2
6481.526576,30689,81,23,51,0,5,467.24802
2599.310879,29590,66,17,18,0,1,467.503236
10442.65139,17269,139,3,31,0,5,667.2
8470.036773,0,113,34,5,0,8,619.973889
3087.999917,18558,80,17,23,0,1,384.0
4443.736209,46384,113,33,93,0,1,251.774574
7984.086473,0,72,1,77,0,2,866.208321
15656.03434,71731,130,12,50,0,2,599.648466
5780.182197,51066,74,23,0,0,8,787.993313
5050.826183,0,69,16,45,0,6,72.852047
7268.736958,24445,63,18,15,0,2,302.4
2616.613903,72302,66,6,27,0,1,316.8
3738.436222,27208,102,10,65,0,1,489.6
5453.861203,30855,68,7,15,0,7,259.060862
6846.150323,0,95,13,20,0,5,456.0
6172.914199,99960,76,19,83,0,4,364.8
10346.32454,0,98,1,15,0,2,470.4
6997.008618,55873,88,30,19,0,6,299.356083
4196.257691,18052,111,5,71,0,1,699.1679
6064.343994,0,86,34,80,0,5,545.240341
5923.117229,92163,73,3,79,0,6,66.568642
4331.460674,82302,106,11,92,0,1,722.178166
13309.33517,0,127,19,40,0,2,609.6
4528.50489,70340,113,5,56,0,1,542.4
2791.906514,0,74,35,59,0,1,532.8
8092.87696,50825,102,3,46,0,3,369.614729
7996.00748,93459,99,9,85,0,5,655.41333
5697.175238,27048,72,5,85,0,4,345.6
9217.130629,73259,115,7,31,0,4,673.34265
10208.92761,35482,129,21,59,0,3,619.2
8665.956372,41163,108,11,66,0,3,231.922173
3543.232138,35695,90,2,7,0,1,432.0
3490.028304,90985,87,33,39,0,1,78.085149
3683.099864,0,101,19,16,0,1,564.466556
5989.773931,66839,154,33,24,0,1,739.2
12500.84302,0,165,16,43,0,3,792.0
8609.158215,79090,107,2,74,0,3,289.040734
2497.45507,24825,64,34,44,0,1,155.938593
7019.177186,26806,63,32,19,0,2,302.4
5387.926265,56835,67,25,16,0,3,326.549425
6165.557517,0,88,12,54,0,6,653.65668
2730.20294,46135,69,12,68,0,1,103.935601
5162.116944,0,73,21,87,0,4,809.532341
7937.064822,22862,67,9,40,0,2,321.6
2632.545795,95854,65,16,78,0,1,312.0
8255.76385,54040,103,14,88,0,4,59.987126
4980.825042,53265,62,12,27,0,3,238.005074
9048.983447,0,119,9,8,0,3,571.2
8312.681598,21442,118,32,84,0,3,566.4
5295.741716,50200,135,23,98,0,1,637.063458
3731.504584,0,96,31,34,0,1,460.8
4016.541995,0,111,4,85,0,1,799.2
8236.917193,0,106,11,15,0,6,603.058114
2491.317024,36631,62,30,77,0,1,67.530904
2908.875917,35895,73,11,51,0,1,312.921256
8341.623748,0,118,15,77,0,4,566.4
5090.781344,93018,63,5,90,0,3,135.382194
7366.1883,70014,62,6,4,0,2,17.742954
2436.875126,48875,61,20,9,0,1,1.838367
8852.688689,67969,74,11,14,0,2,197.776009
5600.496541,68665,69,33,67,0,7,331.2
14696.63549,45345,125,0,73,0,2,600.0
12298.6863,17101,113,1,88,0,2,542.4
5946.670679,81139,74,22,69,0,3,392.6364
6457.560953,37548,81,12,9,0,3,160.598662
2592.437797,72421,65,8,23,0,1,312.0
4678.423394,83102,116,15,35,0,1,443.670399
13869.92705,28432,118,1,59,0,2,612.300581
8717.777831,83707,108,2,72,0,7,290.391526
5233.986808,63259,65,25,14,0,7,316.795337
4764.189722,0,67,18,73,0,8,405.527937
2472.469209,63860,62,26,81,0,1,208.598246
5505.057003,86132,68,30,10,0,3,301.437365
2606.208503,28519,66,1,56,0,1,456.473115
10481.94383,39102,88,11,98,0,2,152.338562
3256.766388,0,89,17,56,0,1,491.755368
9468.509337,0,88,6,47,0,2,633.6
5631.451866,17291,73,3,25,0,5,350.4
7780.999262,0,74,0,52,0,2,246.489123
9816.528302,37256,62,15,7,0,2,128.969729
2676.867914,54480,67,19,91,0,1,321.6
2523.959554,16244,68,4,85,0,1,623.223617
6988.401604,22436,89,24,21,0,3,427.2
2695.963857,25544,68,18,30,0,1,326.4
2673.319593,28728,67,8,10,0,1,321.6
12157.32992,57449,103,6,28,0,2,494.4
2957.764017,83318,73,21,42,0,1,211.336937
7433.820995,55561,63,2,79,0,2,227.872071
8415.684559,55308,107,17,74,0,6,513.6
8293.481886,70258,69,20,65,0,2,225.145949
6846.150323,0,95,13,20,0,5,456.0
5802.83547,0,78,27,10,0,8,644.755653
5077.320916,0,73,26,84,0,3,525.6
12427.39371,15818,107,24,99,0,2,333.886816
10990.59477,44552,137,7,42,0,3,311.103582
3435.25008,64348,86,25,18,0,1,212.391975
6624.61183,0,62,27,53,0,2,297.6
5757.442258,88997,72,9,71,0,3,174.041566
2691.568951,77411,67,30,63,0,1,257.900458
2886.451602,10312,78,10,63,0,1,486.278557
4160.018087,96263,103,5,5,0,1,1.924709
2846.24535,28919,72,18,11,0,1,518.4
5059.616223,41869,64,5,52,0,6,262.12205
9095.744565,0,128,5,76,0,8,921.6
8277.637562,79780,68,11,58,0,2,326.4
3801.750407,33043,95,15,90,0,1,456.0
2520.12318,0,70,18,47,0,1,63.043197
2595.747991,47234,65,11,34,0,1,15.631363
7437.693335,86863,92,27,26,0,3,441.6
5913.305869,43676,76,19,7,0,3,364.8
5759.91084,85448,72,16,76,0,3,16.03451
4381.184212,20597,112,31,46,0,1,615.256301
11430.58845,93210,71,35,62,0,2,74.523935
8596.916624,53736,71,2,20,0,2,169.287785
2582.408525,76731,64,2,68,0,1,201.455005
2275.363967,0,64,11,85,0,1,662.69318
4118.588554,69379,103,14,79,0,1,494.4
12157.32992,57449,103,6,28,0,2,494.4
5152.819636,0,68,7,31,0,7,326.4
6512.976472,0,93,30,70,0,6,669.6
4191.966092,77048,103,20,41,0,1,141.199465
10928.40709,74965,90,20,93,0,2,58.557552
7615.381271,34095,63,5,99,0,2,302.4
2434.681155,96045,61,24,35,0,1,8.582971
14195.36028,86355,118,27,86,0,2,285.418473
9427.684903,27824,118,32,9,0,8,566.4
11982.42085,42995,101,10,22,0,2,410.508316
3102.789546,21235,79,18,56,0,1,244.23135
4222.631209,74585,106,1,49,0,1,218.598065
4023.814439,41833,103,28,43,0,1,643.826716
5297.151805,23908,70,18,57,0,4,336.0
4416.206243,61953,113,5,63,0,1,497.047297
4863.544585,0,137,25,45,0,1,657.6
2974.314896,23333,74,8,43,0,1,5.622751
2064.458781,0,61,6,30,0,1,292.8
5500.01251,86073,136,3,32,0,1,333.5671
5489.214062,50943,139,18,14,0,1,667.2
2612.756658,19003,71,29,21,0,1,34.651305
8573.463947,46703,108,0,48,0,6,678.100487
8550.386579,21733,73,17,37,0,2,525.6
2308.648034,20811,61,33,61,0,1,292.8
7868.165983,57340,67,7,19,0,2,159.391681
7704.248723,49088,97,4,46,0,3,698.4
10552.16999,47761,131,2,54,0,6,232.711071
11681.37428,70930,99,2,21,0,2,190.43446
8737.837514,61281,110,7,16,0,7,79.865605
7705.283329,25290,66,0,4,0,2,382.085897
7039.262387,24239,88,25,5,0,8,48.348319
8733.527338,83210,110,0,25,0,3,528.0
9597.474777,38736,81,7,35,0,2,561.414794
4737.871725,0,130,0,93,0,1,23.820158
5426.136238,0,71,33,83,0,3,407.99684
7998.143771,29066,100,13,51,0,3,844.229478
2897.620704,54337,72,27,7,0,1,345.6
11599.50219,67616,96,25,17,0,2,340.306584
15147.93055,41082,63,23,94,0,2,106.647493
5435.767832,0,73,12,71,0,4,626.116259
9927.049694,19592,92,31,63,0,2,441.6
2722.210707,17576,71,29,70,0,1,398.502948
7083.212357,41449,89,15,45,0,5,63.516572
5889.509098,62007,73,4,7,0,3,120.015609
5288.173294,42621,66,8,3,0,3,316.8
2163.870179,0,63,0,75,0,1,302.4
5207.640754,21952,66,20,31,0,6,316.8
12280.76661,88340,102,16,1,0,2,489.6
2441.394244,0,65,7,28,0,1,312.0
6535.560574,0,65,14,62,0,2,468.0
9206.598256,24589,82,33,39,0,2,511.497882
4118.588554,69379,103,14,79,0,1,494.4
4625.548098,66670,114,23,6,0,1,518.180364
14042.103,88854,118,6,50,0,2,715.252366
2514.59196,43860,65,15,58,0,1,156.124914
13917.37715,67267,89,31,10,0,2,94.814032
4322.240343,0,119,0,37,0,1,571.2
8002.308333,0,107,3,65,0,3,513.6
3885.456401,0,105,3,92,0,1,504.0
16301.9676,19614,85,21,32,0,2,574.024018
2319.735908,0,64,31,53,0,1,632.715382
2860.111745,51159,72,4,61,0,1,4.238626
2453.408288,83772,62,13,76,0,1,42.248087
5989.773931,66839,154,33,24,0,1,739.2
2457.576007,52926,61,2,92,0,1,292.8
2379.741171,0,67,16,90,0,1,494.946438
8286.964421,40001,70,26,7,0,2,142.567008
2393.915369,0,70,24,10,0,1,425.266308
4657.159469,18024,65,13,1,0,3,312.0
2803.916726,23220,74,3,73,0,1,251.334247
8646.504109,64125,108,3,44,0,3,369.818708
7425.870642,58042,62,14,88,0,2,161.419528
4528.737362,90034,112,5,86,0,1,537.6
2227.072755,27972,61,7,38,0,1,292.8
7292.948758,0,65,6,45,0,2,312.0
3184.355246,50989,80,3,11,0,1,255.999709
11315.20373,11885,101,18,39,0,2,484.8
2530.705137,89451,63,11,2,0,1,61.769564
13955.56961,90279,115,7,64,0,2,372.175592
5001.527484,0,72,3,56,0,3,542.14385
7619.482766,0,105,5,42,0,5,504.0
12550.88198,22234,160,0,92,0,3,768.0
6793.77405,22250,86,10,36,0,3,720.601429
5272.319663,0,80,9,69,0,7,576.0
8547.586142,51179,71,10,25,0,2,466.176731
2787.423683,38667,72,8,67,0,1,159.266473
4626.801093,79487,114,20,87,0,1,547.2
5170.811494,0,71,5,20,0,5,859.599411
8960.280213,71943,112,8,51,0,4,305.653785
5471.83429,53526,68,27,69,0,4,278.902846
2620.392335,24721,67,3,76,0,1,139.963594
5757.442258,88997,72,9,71,0,3,174.041566
2701.488341,76310,67,1,33,0,1,321.6
3712.430479,73205,92,9,18,0,1,37.299865
8237.037945,23940,107,13,34,0,7,513.6
2243.473907,0,62,26,18,0,1,446.4
8434.464067,44216,71,24,36,0,2,72.205362
2227.072755,27972,61,7,38,0,1,292.8
2641.446062,29305,66,1,38,0,1,475.2
2790.682957,53882,69,14,33,0,1,331.2
7579.532717,33906,64,25,49,0,2,401.592109
4747.734642,42165,123,22,66,0,1,799.673766
3540.90425,0,101,24,11,0,1,727.2
3436.134281,30817,88,25,43,0,1,91.834668
2582.185301,68074,65,12,62,0,1,27.987867
4330.799785,0,61,30,35,0,3,292.8
9075.768214,37722,116,8,23,0,8,158.077504
14635.45158,0,139,5,56,0,2,667.2
5609.082494,44705,71,21,63,0,6,148.173152
11565.68747,64642,96,3,79,0,2,404.265696
2771.045031,50071,71,3,32,0,1,18.918935
7582.113842,64801,64,23,19,0,2,268.471802
3323.092454,70410,83,25,13,0,1,131.828507
2551.226692,79751,63,15,67,0,1,392.235698
4538.847818,82297,116,5,62,0,1,0.382107
8730.421977,43259,73,12,18,0,2,350.4
8332.730557,0,79,7,72,0,2,379.2
2357.747015,25064,62,17,34,0,1,297.6
4637.164036,25816,119,18,63,0,1,571.2
5357.192698,0,73,14,74,0,8,350.853987
5391.970996,41662,69,27,73,0,6,217.973168
3694.140498,96170,92,8,86,0,1,441.6
5040.412436,46072,64,0,61,0,4,25.934064
4842.284965,35127,62,9,21,0,5,297.6
2678.058299,72450,66,21,58,0,1,84.218363
9463.113263,69654,118,10,50,0,7,629.532731
13441.00637,80744,111,15,19,0,2,361.284757
2538.62632,18608,71,13,24,0,1,340.8
5639.941974,73168,70,21,50,0,3,425.800112
2667.270014,94041,66,14,11,0,1,159.756733
13778.36933,91474,113,9,99,0,2,24.087774
2272.335352,16618,62,0,40,0,1,219.288706
9756.044954,67632,121,0,44,0,4,26.951627
9422.974113,34115,119,6,73,0,6,466.122541
3837.357574,23051,99,31,86,0,1,475.2
10952.13189,23748,99,0,24,0,2,607.095655
8159.136579,40589,69,23,68,0,2,331.2
3919.366722,66676,97,0,40,0,1,558.099357
12168.74492,14973,115,2,75,0,2,828.0
5849.321498,0,83,2,47,0,4,540.514115
14024.35839,81872,115,10,55,0,2,256.43803
10640.93932,50450,90,11,68,0,2,135.892444
4949.803822,21342,62,34,72,0,3,74.350893
3792.13031,97212,93,28,61,0,1,360.05589
2755.747968,49648,70,0,23,0,1,65.954813
9051.905275,26308,114,10,30,0,3,547.2
8071.65295,0,112,3,84,0,7,806.4
7726.993623,87620,64,3,15,0,2,24.063693
8311.1359,0,72,22,79,0,2,311.329282
2574.020376,34990,65,23,73,0,1,42.689135
5727.327124,99934,71,9,12,0,3,460.323855
5441.42013,85702,67,9,74,0,6,249.085887
2744.519593,94648,69,19,64,0,1,331.2
